code_uic;libelle_point_d_arret;libelle;libelle_stif_info_voyageurs;libelle_sms_gare;nom_gare;adresse;code_insee_commune;commune;x_lambert_ii_etendu;y_lambert_ii_etendu;coord_gps_wgs84;zone_navigo;gare_non_sncf
87116517;LA FERTE SOUS JOUARRE;LA FERTE SOUS JOUARRE;GARE DE LA FERTE SOUS JOUARRE;Ferté sous J;La Ferté-sous-Jouarre;10 place de la gare 77260 le Ferté-sous-Jouarre;77183;La Ferté-sous-Jouarre;657816;2439464;48.9507720863, 3.12540966146;5;0
87116616;ISLES ARMENTIERES CONGIS;ISLES ARMENTIERES CONGIS;GARE D'ISLES ARMENTIERES CONGIS;;Iles-les-Meldeuses - Armentière-en-Brie - Congis-sur-Thérouanne;Rue de la gare 77440 Isles-les-Meldeuses;77231;Isles-les-Meldeuses;649130;2444652;48.9981165045, 3.00749816426;5;0
87116640;CROUY SUR OURCQ;CROUY SUR OURCQ;GARE DE CROUY SUR OURCQ;;Crouy-sur-Ourcq;Rue du Houssoy 77840 Crouy-sur-Ourcq;77148;Crouy-sur-Ourcq;653092;2455083;49.0915297302, 3.06292161569;5;0
87116772;CRECY LA CHAPELLE;CRECY LA CHAPELLE;GARE DE CRECY LA CHAPELLE;;Crécy-la-Chapelle;Routes des bouleurs 77580 Crécy-la-Chapelle;77142;Crécy-la-Chapelle;641790;2429174;48.8595413958, 2.9057267856;5;0
87271148;EPINAY SUR SEINE;EPINAY SUR SEINE;GARE D'EPINAY SUR SEINE;Epinay / S.;Épinay-sur-Seine;Place de la Nouvelle Gare, 93800 Epinay-sur-Seine;93031;Epinay-sur-Seine;597506;2439552;48.9541604559, 2.30247161058;3;0
87271304;LA COURNEUVE AUBERVILLIERS;LA COURNEUVE AUBERVILLIERS;GARE DE LA COURNEUVE AUBERVILLIERS;La Courneuve;La Courneuve - Aubervilliers;Av Victor Hugo, 93120 La Courneuve;93027;La Courneuve;603531;2436171;48.9237716573, 2.38465954977;3;0
87271403;DRANCY;DRANCY;GARE DE DRANCY;Drancy;Drancy;193, Rue Anatole France, 93700 Drancy;93029;Drancy;608697;2437189;48.9328715049, 2.45513299027;3;0
87271452;VILLEPINTE;VILLEPINTE;GARE DE VILLEPINTE;Villepinte;Villepinte;Route Camille Pissaro, 93420 Villepinte;93078;Villepinte;612872;2440552;48.9630240237, 2.51218261685;4;0
87271551;LE PLESSIS BELLEVILLE;LE PLESSIS BELLEVILLE;GARE DU PLESSIS BELLEVILLE;;Le Plessis-Belleville;;60500;Le Plessis-Belleville;629830;2455427;49.0961273605, 2.7446768019;5;0
87272039;SEUGY;SEUGY;GARE DE SEUGY;Seugy;Seugy;rue de la gare 95270 Seugy;95594;Seugy;604601;2457922;49.1192234592, 2.39948681935;5;0
87276006;CREIL;CREIL;GARE DE CREIL;;Creil;;60175;Creil;609657;2474053;49.2641015333, 2.46907080816;100;0
87276071;FRANCONVILLE LE PLESSIS BOUCHARD;FRANCONVILLE LE PLESSIS BOUCHARD;GARE DE FRANCONVILLE LE PLESSIS BOUCHARD;Franconville;Franconville - Le Plessis-Bouchard;Place de la gare 95130 Franconville;95252;Franconville;592629;2443909;48.9932769106, 2.23584452688;4;0
87276154;PONT PETIT;PONT PETIT;GARE DE PONT PETIT;Pont Petit;Pont Petit;Rue Louis Auguste Blanqui 95310 Saint-Ouen-l'Aumône;95572;Saint-Ouen-l'Aumône;584914;2451325;49.0597820664, 2.1302213648;5;0
87276220;VILLIERS LE BEL GONESSE ARNOUVILLE;VILLIERS LE BEL GONESSE ARNOUVILLE;GARE DE VILLIERS LE BEL GONESSE ARNOUVILLE;Villiers Bel;Villiers-le-Bel - Gonesse;1 Place Général Leclerc  95400 Villilers le Bel;95019;Arnouville-les-Gonesse;605827;2444009;48.9941925925, 2.41607904161;4;0
